timestamp authorization ezpay vehicle gate type lane toll
2019-07-24.22:18:20 true 43183 RT48ZEC 3 1 2 1.60
2019-07-24.22:18:20 false null JULP8O5 3 1 1 1.60
2019-07-24.22:18:25 true 90201 9MEY2EI 3 1 2 1.60
2019-07-24.22:18:25 true 50338 61E6L4L 1 1 1 0.80
2019-07-24.22:18:25 true 67680 LD1HJ4H 1 1 1 0.80
2019-07-24.22:18:25 true 43519 DOO3NFR 1 1 1 0.80
2019-07-24.22:18:25 true 76579 GKK3ZYA 4 2 1 0.09
2019-07-24.22:18:25 true 29849 0F6TFXB 2 2 2 1.18
2019-07-24.22:18:25 true 64604 D02TGMB 3 1 2 1.60
2019-07-24.22:18:25 true 8986 ASPFMID 3 1 1 1.60
2019-07-24.22:18:25 true 17513 36WN1CS 1 1 1 0.80
2019-07-24.22:18:25 true 64593 I52U98E 3 1 2 1.60
2019-07-24.22:18:26 true 59005 IPHVSDX 1 1 1 0.80
2019-07-24.22:18:26 true 82475 PJSS5WH 1 1 1 0.80
2019-07-24.22:18:26 true 46824 T6H2C25 3 1 1 1.60
2019-07-24.22:18:26 true 48944 DPDAIKY 2 2 3 1.12
2019-07-24.22:18:26 true 90965 EI5VBKP 3 1 2 1.60
2019-07-24.22:18:26 true 9674 F5AF52I 5 1 3 2.40
2019-07-24.22:18:26 true 53154 1HJVQWL 3 1 1 1.60
2019-07-24.22:18:26 true 59485 YZ0DD0S 1 1 1 0.80
2019-07-24.22:18:26 true 45169 VHRAWKL 4 2 2 1.24
2019-07-24.22:18:26 true 58414 3VMG0TF 5 1 2 2.40
2019-07-24.22:18:27 true 38233 76S3E8F 3 1 2 1.60
2019-07-24.22:18:27 true 4087 L53P2BB 3 1 2 1.60
2019-07-24.22:18:27 true 19803 WM6CJJW 5 1 3 2.40
2019-07-24.22:18:27 true 16457 3FLL685 2 2 1 1.69
2019-07-24.22:18:27 true 16003 FZ7K3KX 2 2 3 0.97
2019-07-24.22:18:27 false null ZG5ITKK 4 2 3 1.56
2019-07-24.22:18:27 true 39297 910QGAM 1 1 1 0.80
2019-07-24.22:18:27 true 26729 8MC7SSQ 2 2 3 1.31
2019-07-24.22:18:27 true 1911 817NDX6 1 1 1 0.80
2019-07-24.22:18:27 true 25824 E96IOZO 2 2 4 1.64
2019-07-24.22:18:27 true 63605 BRUMCTR 2 2 4 0.93
2019-07-24.22:18:27 true 7955 KUK3VJZ 5 1 2 2.40
2019-07-24.22:18:27 true 87855 WQX5M3T 5 1 3 2.40
2019-07-24.22:18:27 false null FGLU9CE 1 1 1 0.80
2019-07-24.22:18:27 true 31545 71BG8KL 1 1 1 0.80
2019-07-24.22:18:27 true 79769 KS05CA9 2 2 4 1.51
2019-07-24.22:18:27 true 44551 UI7M9U5 4 2 3 1.97
2019-07-24.22:18:27 true 19330 I0YVFY6 4 2 2 0.18
2019-07-24.22:18:27 true 74093 9P6ZYOE 5 1 2 2.40
2019-07-24.22:18:27 true 16168 B8HO8Q2 1 1 1 0.80
2019-07-24.22:18:27 true 5879 57XWLJA 2 2 2 1.64
2019-07-24.22:18:27 true 49673 46YGYHZ 4 2 4 1.40
2019-07-24.22:18:27 true 35812 23L6YY8 2 2 3 1.54
2019-07-24.22:18:27 true 9369 EJH4AR4 2 2 4 1.88
2019-07-24.22:18:27 true 54160 6QB3048 2 2 4 1.34
2019-07-24.22:18:28 false null Q862IY6 1 1 1 0.80
2019-07-24.22:18:28 true 31228 3UX7BUV 4 2 2 0.66
2019-07-24.22:18:28 true 61765 1QRG8K0 5 1 1 2.40
2019-07-24.22:18:28 true 94561 BAL68QZ 5 1 1 2.40
2019-07-24.22:18:28 true 4729 A0U7WYU 2 2 4 0.93
2019-07-24.22:18:28 false null 79M3QVU 5 1 3 2.40
2019-07-24.22:18:28 true 11099 HWAXOZ7 4 2 2 1.66
2019-07-24.22:18:28 true 13624 JTIU1YV 4 2 4 1.84
2019-07-24.22:18:28 true 57053 P8HY01W 3 1 1 1.60
2019-07-24.22:18:28 true 68632 4SQ9CGS 5 1 3 2.40
2019-07-24.22:18:28 true 88609 C35EEY9 2 2 4 1.63
2019-07-24.22:18:28 true 74893 F671ZBA 1 1 1 0.80
2019-07-24.22:18:28 true 56311 ASRDC7V 1 1 1 0.80
2019-07-24.22:18:28 true 12237 0LW11BD 3 1 1 1.60
2019-07-24.22:18:28 true 84297 49IOOXA 1 1 1 0.80
2019-07-24.22:18:28 true 13253 1QAB2HF 4 2 2 1.94
2019-07-24.22:18:28 true 47373 QK1MB0J 1 1 1 0.80
2019-07-24.22:18:28 true 46183 E2BACVP 2 2 1 1.44
2019-07-24.22:18:29 true 76344 P6L65LV 3 1 1 1.60
2019-07-24.22:18:29 true 41682 IE0JJDM 5 1 1 2.40
2019-07-24.22:18:29 true 17986 H7G6C4X 2 2 2 1.69
2019-07-24.22:18:29 true 32996 UP44WDX 1 1 1 0.80
2019-07-24.22:18:29 true 38668 5Q75FV3 1 1 1 0.80
2019-07-24.22:18:29 true 54884 DBS3G1O 5 1 3 2.40
2019-07-24.22:18:29 true 83863 0OVSF8D 2 2 4 0.27
2019-07-24.22:18:29 true 23399 R30NR8N 2 2 3 1.39
2019-07-24.22:18:29 false null 8X3W7JG 2 2 2 1.59
2019-07-24.22:18:29 true 63092 4IB6ANU 5 1 2 2.40
2019-07-24.22:18:29 true 28155 ZLSUBXD 1 1 1 0.80
2019-07-24.22:18:29 false null V3R2W8F 4 2 4 1.64
2019-07-24.22:18:29 true 90738 TV0CTSZ 1 1 1 0.80
2019-07-24.22:18:29 false null BSX9F4C 3 1 2 1.60
2019-07-24.22:18:29 true 82593 XFO75DM 5 1 2 2.40
2019-07-24.22:18:29 true 10377 864JSQ6 1 1 1 0.80
2019-07-24.22:18:29 true 6537 WX0V4IQ 2 2 3 0.61
2019-07-24.22:18:29 true 46644 N8420UP 2 2 3 1.51
2019-07-24.22:18:29 false null IKYD50D 3 1 1 1.60
2019-07-24.22:18:29 true 56425 J39717U 4 2 2 1.39
2019-07-24.22:18:29 true 64509 EOZ98JR 4 2 3 0.88
2019-07-24.22:18:29 true 80906 9JLWZZ4 3 1 2 1.60
2019-07-24.22:18:29 true 43416 KF231IU 1 1 1 0.80
2019-07-24.22:18:29 true 63093 SRLPHRQ 3 1 2 1.60
2019-07-24.22:18:29 true 88986 FJPDIOW 5 1 2 2.40
2019-07-24.22:18:29 true 14996 ZMP57IP 3 1 2 1.60
2019-07-24.22:18:30 false null S9JLZEG 5 1 3 2.40
2019-07-24.22:18:30 true 65268 UL5OBKS 5 1 1 2.40
2019-07-24.22:18:30 true 21869 I4YZGFR 4 2 2 1.78
2019-07-24.22:18:30 true 8399 6K7D1AD 1 1 1 0.80
2019-07-24.22:18:30 true 54121 QREJI4E 5 1 3 2.40
2019-07-24.22:18:30 true 77946 132A90Q 3 1 2 1.60
2019-07-24.22:18:30 true 13700 O9SP6HK 4 2 1 0.31
2019-07-24.22:18:30 true 39061 ZMJH101 1 1 1 0.80
2019-07-24.22:18:30 true 70172 UI6G0D8 5 1 2 2.40
2019-07-24.22:18:30 true 46616 96T6RY0 1 1 1 0.80
2019-07-24.22:18:30 true 84094 LXZTVZT 4 2 4 1.09
2019-07-24.22:18:30 true 27230 R9O9AZ5 3 1 1 1.60
2019-07-24.22:18:30 true 40054 OJU370E 1 1 1 0.80
2019-07-24.22:18:30 true 66359 GEU5961 1 1 1 0.80
2019-07-24.22:18:30 true 7082 5M8JGWM 4 2 4 1.81
2019-07-24.22:18:30 true 83777 0M2I1I2 2 2 1 1.14
2019-07-24.22:18:30 true 91029 SYMLTH9 5 1 1 2.40
2019-07-24.22:18:30 true 75722 6X18NLG 3 1 1 1.60
2019-07-24.22:18:30 true 62733 64MV8KE 2 2 1 1.12
2019-07-24.22:18:30 false null FU9WQRN 1 1 1 0.80
2019-07-24.22:18:30 true 72515 SXF965G 2 2 4 1.59
2019-07-24.22:18:30 true 44828 478ALHP 3 1 2 1.60
2019-07-24.22:18:30 true 620 EZLS8AH 2 2 2 0.54
2019-07-24.22:18:30 true 54215 NA41RL3 4 2 1 0.01
2019-07-24.22:18:30 false null S172945 1 1 1 0.80
2019-07-24.22:18:30 false null MUC4E0H 2 2 3 1.97
2019-07-24.22:18:31 true 8403 N8TYASR 1 1 1 0.80
2019-07-24.22:18:31 true 53281 6O0MAH9 4 2 1 1.39
2019-07-24.22:18:31 true 41812 VT37NJW 5 1 3 2.40
2019-07-24.22:18:31 true 83683 MQUUE0U 3 1 1 1.60
2019-07-24.22:18:31 true 89958 D00OYX5 5 1 2 2.40
2019-07-24.22:18:31 true 72461 RBWTWIS 4 2 1 0.13
2019-07-24.22:18:31 true 95358 XSJZ807 5 1 3 2.40
2019-07-24.22:18:31 true 89810 XRPRS6F 4 2 4 1.06
2019-07-24.22:18:31 true 14895 LZESFE9 3 1 2 1.60
2019-07-24.22:18:31 true 33393 A2Q68DN 3 1 2 1.60
2019-07-24.22:18:31 true 24711 2B1IE9N 5 1 1 2.40
2019-07-24.22:18:31 false null DJHDF9R 3 1 1 1.60
2019-07-24.22:18:31 true 80975 S6KOXSI 2 2 2 0.77
2019-07-24.22:18:31 true 51638 YGE7U4O 1 1 1 0.80
2019-07-24.22:18:32 true 47767 DIPQW56 1 1 1 0.80
2019-07-24.22:18:32 true 9116 LMX8CAO 1 1 1 0.80
2019-07-24.22:18:32 true 55117 6PCZEC8 3 1 2 1.60
2019-07-24.22:18:32 true 95332 27N5XVH 2 2 3 1.36
2019-07-24.22:18:32 true 55608 YLO76KG 4 2 1 1.79
2019-07-24.22:18:32 true 71903 MF1E5A5 4 2 3 0.13
2019-07-24.22:18:32 true 54134 828ZC6U 1 1 1 0.80
2019-07-24.22:18:32 true 37263 Q6C2VJ4 3 1 2 1.60
2019-07-24.22:18:32 true 16909 KNW4LXA 3 1 1 1.60
2019-07-24.22:18:32 true 22796 71GS5HA 5 1 3 2.40
2019-07-24.22:18:32 false null IAA009Z 5 1 2 2.40
2019-07-24.22:18:32 true 26910 NBE87F3 4 2 4 0.97
2019-07-24.22:18:32 true 46999 J7NRBT7 1 1 1 0.80
2019-07-24.22:18:32 true 71308 5QM6CH4 2 2 1 0.20
2019-07-24.22:18:32 false null A399P09 2 2 1 1.81
2019-07-24.22:18:32 true 1715 BWIEBFO 3 1 2 1.60
2019-07-24.22:18:32 true 66298 RQYR233 3 1 1 1.60
2019-07-24.22:18:32 true 95171 LCY3Z0A 4 2 2 0.53
2019-07-24.22:18:32 true 12142 FD1PP5W 2 2 3 0.87
2019-07-24.22:18:32 true 38597 JU2VJDG 1 1 1 0.80
2019-07-24.22:18:32 false null K1ZR4O2 5 1 3 2.40
2019-07-24.22:18:32 true 37154 I9NRQ4Y 1 1 1 0.80
2019-07-24.22:18:32 true 4244 U3JUTX2 4 2 3 0.25
2019-07-24.22:18:32 true 69548 G6VWTDC 5 1 3 2.40
2019-07-24.22:18:32 true 79515 3HZTERY 2 2 1 1.41
2019-07-24.22:18:33 true 84238 GA3RMWP 3 1 1 1.60
2019-07-24.22:18:33 true 35585 0OGNRWX 3 1 1 1.60
2019-07-24.22:18:33 true 71527 KWY60U8 5 1 1 2.40
2019-07-24.22:18:33 true 16112 066SYK8 1 1 1 0.80
2019-07-24.22:18:33 true 20852 8BQ7J2J 3 1 1 1.60
2019-07-24.22:18:33 true 78876 D7JLV3M 4 2 2 1.49
2019-07-24.22:18:33 true 17997 VKUDNS8 5 1 1 2.40
2019-07-24.22:18:33 true 35934 MWJACR2 2 2 1 0.07
2019-07-24.22:18:33 true 50451 8386KWF 4 2 3 1.72
2019-07-24.22:18:33 false null PC16ADA 1 1 1 0.80
2019-07-24.22:18:33 true 61369 LB5IWRN 3 1 1 1.60
2019-07-24.22:18:33 true 9003 M23FRKH 4 2 1 1.36
2019-07-24.22:18:33 true 11329 QCG6TL1 3 1 2 1.60
2019-07-24.22:18:33 true 70576 7UEXBTV 1 1 1 0.80
2019-07-24.22:18:34 true 93460 MHE2DJL 5 1 1 2.40
2019-07-24.22:18:34 true 8328 KPJJACH 3 1 1 1.60
2019-07-24.22:18:34 true 86457 F6H2XXO 2 2 1 0.88
2019-07-24.22:18:34 true 255 3TGGCLK 1 1 1 0.80
2019-07-24.22:18:34 true 18152 FKKTVBB 2 2 2 0.47
2019-07-24.22:18:34 false null D4SYQGX 3 1 2 1.60
2019-07-24.22:18:34 true 68360 C1PEC0D 2 2 2 0.94
2019-07-24.22:18:34 true 57497 OSLRPDR 4 2 4 1.31
2019-07-24.22:18:34 true 35187 H5AGE6I 5 1 3 2.40
2019-07-24.22:18:34 true 10031 QLDRH8D 2 2 4 0.75
2019-07-24.22:18:34 true 76883 0G7YLP7 2 2 3 1.29
2019-07-24.22:18:34 true 91475 Q1QSKSP 1 1 1 0.80
2019-07-24.22:18:34 true 7477 4L3YR43 3 1 2 1.60
2019-07-24.22:18:34 true 78180 UF6WPAI 5 1 3 2.40
2019-07-24.22:18:34 true 58331 JBRFWH6 3 1 2 1.60
2019-07-24.22:18:34 true 40783 LVNJ9J0 1 1 1 0.80
2019-07-24.22:18:34 true 20859 DMR9Q0J 4 2 4 0.70
2019-07-24.22:18:34 true 53128 8XTWHYU 3 1 1 1.60
2019-07-24.22:18:34 true 6366 ZZTFAF8 2 2 4 1.03
2019-07-24.22:18:34 false null 6MFDOSR 1 1 1 0.80
2019-07-24.22:18:34 true 25685 4DXU2EK 3 1 1 1.60
